GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Speak only English,Margin of Error; Total: - Speak only English,Estimate; Total: - Spanish:,Margin of Error; Total: - Spanish:,"Estimate; Total: - Spanish: - Speak English ""very well""","Margin of Error; Total: - Spanish: - Speak English ""very well""","Estimate; Total: - Spanish: - Speak English less than ""very well""","Margin of Error; Total: - Spanish: - Speak English less than ""very well""","Estimate; Total: - French, Haitian, or Cajun:","Margin of Error; Total: - French, Haitian, or Cajun:","Estimate; Total: - French, Haitian, or Cajun: - Speak English ""very well""","Margin of Error; Total: - French, Haitian, or Cajun: - Speak English ""very well""","Estimate; Total: - French, Haitian, or Cajun: - Speak English less than ""very well""","Margin of Error; Total: - French, Haitian, or Cajun: - Speak English less than ""very well""",Estimate; Total: - German or other West Germanic languages:,Margin of Error; Total: - German or other West Germanic languages:,"Estimate; Total: - German or other West Germanic languages: - Speak English ""very well""","Margin of Error; Total: - German or other West Germanic languages: - Speak English ""very well""","Estimate; Total: - German or other West Germanic languages: - Speak English less than ""very well""","Margin of Error; Total: - German or other West Germanic languages: - Speak English less than ""very well""","Estimate; Total: - Russian, Polish, or other Slavic languages:","Margin of Error; Total: - Russian, Polish, or other Slavic languages:","Estimate; Total: - Russian, Polish, or other Slavic languages: - Speak English ""very well""","Margin of Error; Total: - Russian, Polish, or other Slavic languages: - Speak English ""very well""","Estimate; Total: - Russian, Polish, or other Slavic languages: - Speak English less than ""very well""","Margin of Error; Total: - Russian, Polish, or other Slavic languages: - Speak English less than ""very well""",Estimate; Total: - Other Indo-European languages:,Margin of Error; Total: - Other Indo-European languages:,"Estimate; Total: - Other Indo-European languages: - Speak English ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English ""very well""","Estimate; Total: - Other Indo-European languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Indo-European languages: - Speak English less than ""very well""",Estimate; Total: - Korean:,Margin of Error; Total: - Korean:,"Estimate; Total: - Korean: - Speak English ""very well""","Margin of Error; Total: - Korean: - Speak English ""very well""","Estimate; Total: - Korean: - Speak English less than ""very well""","Margin of Error; Total: - Korean: - Speak English less than ""very well""","Estimate; Total: - Chinese (incl. Mandarin, Cantonese):","Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese):","Estimate; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English ""very well""","Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English ""very well""","Estimate; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English less than ""very well""","Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English less than ""very well""",Estimate; Total: - Vietnamese:,Margin of Error; Total: - Vietnamese:,"Estimate; Total: - Vietnamese: - Speak English ""very well""","Margin of Error; Total: - Vietnamese: - Speak English ""very well""","Estimate; Total: - Vietnamese: - Speak English less than ""very well""","Margin of Error; Total: - Vietnamese: - Speak English less than ""very well""",Estimate; Total: - Tagalog (incl. Filipino):,Margin of Error; Total: - Tagalog (incl. Filipino):,"Estimate; Total: - Tagalog (incl. Filipino): - Speak English ""very well""","Margin of Error; Total: - Tagalog (incl. Filipino): - Speak English ""very well""","Estimate; Total: - Tagalog (incl. Filipino): - Speak English less than ""very well""","Margin of Error; Total: - Tagalog (incl. Filipino): - Speak English less than ""very well""",Estimate; Total: - Other Asian and Pacific Island languages:,Margin of Error; Total: - Other Asian and Pacific Island languages:,"Estimate; Total: - Other Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English ""very well""","Estimate; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well""","Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well""",Estimate; Total: - Arabic:,Margin of Error; Total: - Arabic:,"Estimate; Total: - Arabic: - Speak English ""very well""","Margin of Error; Total: - Arabic: - Speak English ""very well""","Estimate; Total: - Arabic: - Speak English less than ""very well""","Margin of Error; Total: - Arabic: - Speak English less than ""very well""",Estimate; Total: - Other and unspecified languages:,Margin of Error; Total: - Other and unspecified languages:,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English ""very well""","Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well""","Margin of Error; Total: - Other and unspecified languages: - Speak English less than ""very well"""
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",7503,365,5393,303,1853,240,319,90,1534,232,46,35,0,16,46,35,7,12,0,16,7,12,60,43,0,16,60,43,73,47,5,9,68,46,0,16,0,16,0,16,39,31,0,16,39,31,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,32,29,0,16,32,29
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5066,608,1702,488,3137,615,1573,384,1564,500,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,87,106,77,100,10,17,28,59,28,59,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,112,96,92,79,20,27
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5636,426,2587,432,2782,366,1925,319,857,227,133,191,97,136,36,55,0,16,0,16,0,16,0,16,0,16,0,16,12,23,12,23,0,16,2,4,0,16,2,4,0,16,0,16,0,16,13,20,0,16,13,20,0,16,0,16,0,16,8,12,0,16,8,12,0,16,0,16,0,16,99,99,78,94,21,33
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5683,577,1836,382,3116,510,1627,383,1489,393,139,153,52,56,87,98,0,16,0,16,0,16,8,16,0,16,8,16,8,16,8,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,576,410,506,403,70,82
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2439,264,1118,177,1133,218,683,153,450,140,59,40,34,34,25,20,14,20,14,20,0,11,3,6,0,11,3,6,57,67,19,21,38,49,0,11,0,11,0,11,10,15,10,15,0,11,5,7,5,7,0,11,0,11,0,11,0,11,26,38,14,21,12,18,0,11,0,11,0,11,14,16,8,9,6,9
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8407,825,4390,727,3831,747,2224,576,1607,499,59,68,59,68,0,16,0,16,0,16,0,16,0,16,0,16,0,16,36,41,36,41,0,16,0,16,0,16,0,16,0,16,0,16,0,16,13,20,0,16,13,20,0,16,0,16,0,16,22,34,22,34,0,16,0,16,0,16,0,16,56,82,28,41,28,41
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4482,395,1796,421,2541,410,1340,305,1201,224,37,36,21,25,16,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,108,102,85,81,23,27
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",123,175,123,175,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5116,462,1511,316,3387,500,1536,327,1851,360,0,16,0,16,0,16,0,16,0,16,0,16,9,15,9,15,0,16,10,14,0,16,10,14,6,10,0,16,6,10,74,106,0,16,74,106,0,16,0,16,0,16,7,10,7,10,0,16,36,58,0,16,36,58,27,43,14,22,13,21,49,49,19,21,30,33
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",2724,304,855,223,1631,326,747,212,884,230,115,102,60,68,55,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,123,155,115,154,8,11
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4416,447,1569,338,2604,431,1367,330,1237,332,82,127,47,96,35,37,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,161,134,36,57,125,137
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5127,525,2864,458,1720,529,1169,436,551,300,50,88,50,88,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,124,179,44,63,80,116,0,16,0,16,0,16,369,290,254,260,115,105
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1596,160,341,114,1063,139,585,187,478,132,36,34,18,26,18,27,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,29,0,11,16,29,0,11,0,11,0,11,13,20,13,20,0,11,0,11,0,11,0,11,0,11,0,11,0,11,127,104,69,74,58,48
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3589,438,1363,340,2056,356,1197,310,859,257,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,170,200,105,131,65,72
