,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
1963900,360470966002008,360470405001007,1,0,0,1,0,1,0,0,0,1,20170919,40.6813029,-73.9061405,"Kings County, NY",40.6414653,-73.9003452,"Kings County, NY","LINESTRING(-73.9061405 40.6813029, -73.9003452 40.6414653)"
1977927,360471098002015,360470286005000,1,0,1,0,0,0,1,0,0,1,20170919,40.601940899999995,-74.0004199,"Kings County, NY",40.6476816,-73.9043445,"Kings County, NY","LINESTRING(-74.0004199 40.601940899999995, -73.9043445 40.6476816)"
2634054,360594073011115,360595189006014,1,0,0,1,1,0,0,0,0,1,20170919,40.7649044,-73.53057170000001,"Nassau County, NY",40.7312593,-73.60867540000001,"Nassau County, NY","LINESTRING(-73.53057170000001 40.7649044, -73.60867540000001 40.7312593)"
4228363,360610116001004,360594168021003,1,1,0,0,0,0,1,0,0,1,20170919,40.583329799999994,-73.6452218,"Nassau County, NY",40.7644539,-73.956971,"New York County, NY","LINESTRING(-73.6452218 40.583329799999994, -73.956971 40.7644539)"
4130015,360610112011003,360470518002003,1,0,1,0,0,0,1,0,0,1,20170919,40.6377898,-73.960386,"Kings County, NY",40.763308,-73.97582840000001,"New York County, NY","LINESTRING(-73.960386 40.6377898, -73.97582840000001 40.763308)"
3181233,360610031001010,360594058004009,1,0,1,0,0,0,1,0,0,1,20170919,40.7116859,-73.66328349999999,"Nassau County, NY",40.716376000000004,-74.00335390000001,"New York County, NY","LINESTRING(-73.66328349999999 40.7116859, -74.00335390000001 40.716376000000004)"
4692542,360610317041000,360610034002001,1,1,0,0,0,0,1,0,0,1,20170919,40.7276563,-73.9808479,"New York County, NY",40.7106458,-74.01546590000001,"New York County, NY","LINESTRING(-73.9808479 40.7276563, -74.01546590000001 40.7106458)"
4169792,360610113001003,360610189002002,1,0,1,0,0,0,1,0,0,1,20170919,40.7948283,-73.9633304,"New York County, NY",40.7556595,-73.9890839,"New York County, NY","LINESTRING(-73.9633304 40.7948283, -73.9890839 40.7556595)"
1917271,360470786001001,360470958001002,1,0,1,0,0,0,1,1,0,0,20170919,40.6421652,-73.9137635,"Kings County, NY",40.635261,-73.94933259999999,"Kings County, NY","LINESTRING(-73.9137635 40.6421652, -73.94933259999999 40.635261)"
5723160,360810809007001,360610155006000,1,0,0,1,1,0,0,0,0,1,20170919,40.7766514,-73.9849197,"New York County, NY",40.737551399999994,-73.8213061,"Queens County, NY","LINESTRING(-73.9849197 40.7766514, -73.8213061 40.737551399999994)"
5466525,360810219001003,360810271001002,1,0,1,0,0,1,0,1,0,0,20170919,40.7475098,-73.8777615,"Queens County, NY",40.7281511,-73.91346340000001,"Queens County, NY","LINESTRING(-73.8777615 40.7475098, -73.91346340000001 40.7281511)"
5966731,360850223002003,360850170103006,1,1,0,0,0,1,0,0,0,1,20170919,40.5513314,-74.1923623,"Richmond County, NY",40.636686499999996,-74.14680870000001,"Richmond County, NY","LINESTRING(-74.1923623 40.5513314, -74.14680870000001 40.636686499999996)"
3268229,360610037003002,360050231001003,1,1,0,0,0,0,1,0,0,1,20170919,40.8469918,-73.9042152,"Bronx County, NY",40.7268803,-74.0064901,"New York County, NY","LINESTRING(-73.9042152 40.8469918, -74.0064901 40.7268803)"
1970455,360471058043000,360811032011005,1,0,1,0,0,1,0,0,0,1,20170919,40.607701399999996,-73.758707,"Queens County, NY",40.6487477,-73.8850927,"Kings County, NY","LINESTRING(-73.758707 40.607701399999996, -73.8850927 40.6487477)"
7242518,361190097022008,360870130021004,1,0,1,0,0,0,1,0,0,1,20170919,41.0732268,-73.9657838,"Rockland County, NY",41.0290322,-73.7547277,"Westchester County, NY","LINESTRING(-73.9657838 41.0732268, -73.7547277 41.0290322)"
3621656,360610080001002,360610091001004,1,0,1,0,0,0,1,0,0,1,20170919,40.7431659,-73.9944674,"New York County, NY",40.7495105,-73.97640899999999,"New York County, NY","LINESTRING(-73.9944674 40.7431659, -73.97640899999999 40.7495105)"
3473983,360610062001000,360593008003005,1,0,1,0,0,0,1,0,0,1,20170919,40.769989200000005,-73.72832059999999,"Nassau County, NY",40.7420441,-73.9736679,"New York County, NY","LINESTRING(-73.72832059999999 40.769989200000005, -73.9736679 40.7420441)"
6349513,361031121041027,361031468003006,1,0,1,0,1,0,0,0,0,1,20170919,40.712948100000006,-73.311376,"Suffolk County, NY",40.8223469,-73.3025823,"Suffolk County, NY","LINESTRING(-73.311376 40.712948100000006, -73.3025823 40.8223469)"
5656270,360810711002000,360594100003030,1,0,0,1,0,1,0,0,0,1,20170919,40.67768770000001,-73.68656829999999,"Nassau County, NY",40.7212214,-73.8484441,"Queens County, NY","LINESTRING(-73.68656829999999 40.67768770000001, -73.8484441 40.7212214)"
4504915,360610153003001,360610171003001,1,1,0,0,0,0,1,0,1,0,20170919,40.7876201,-73.9779528,"New York County, NY",40.775397600000005,-73.9829678,"New York County, NY","LINESTRING(-73.9779528 40.7876201, -73.9829678 40.775397600000005)"
2458869,360593018002018,360810632002010,5,1,2,2,2,1,2,0,0,5,20170919,40.674529,-73.7387136,"Queens County, NY",40.7757244,-73.7011699,"Nassau County, NY","LINESTRING(-73.7387136 40.674529, -73.7011699 40.7757244)"
2846619,360595182033004,361031110012009,1,0,0,1,1,0,0,0,0,1,20170919,40.8602434,-73.4143147,"Suffolk County, NY",40.8219941,-73.46528990000002,"Nassau County, NY","LINESTRING(-73.4143147 40.8602434, -73.46528990000002 40.8219941)"
4673703,360610277001000,360050297001005,1,0,1,0,0,0,1,0,0,1,20170919,40.887674100000005,-73.90997359999999,"Bronx County, NY",40.8560966,-73.9262868,"New York County, NY","LINESTRING(-73.90997359999999 40.887674100000005, -73.9262868 40.8560966)"
5513890,360810309031000,360810439002004,1,0,1,0,1,0,0,0,0,1,20170919,40.7418975,-73.8552696,"Queens County, NY",40.756473299999996,-73.8869558,"Queens County, NY","LINESTRING(-73.8552696 40.7418975, -73.8869558 40.756473299999996)"
3228295,360610033002008,360610175005001,1,0,1,0,1,0,0,0,0,1,20170919,40.788931299999994,-73.976916,"New York County, NY",40.717661,-74.00650379999999,"New York County, NY","LINESTRING(-73.976916 40.788931299999994, -74.00650379999999 40.717661)"
1502388,360470043002002,360594152013011,1,0,1,0,0,0,1,0,0,1,20170919,40.6618158,-73.5451749,"Nassau County, NY",40.6885104,-73.987865,"Kings County, NY","LINESTRING(-73.5451749 40.6618158, -73.987865 40.6885104)"
6457418,361031234013007,360594094002000,1,1,0,0,0,1,0,0,0,1,20170919,40.7187082,-73.4962179,"Nassau County, NY",40.701240000000006,-73.384674,"Suffolk County, NY","LINESTRING(-73.4962179 40.7187082, -73.384674 40.701240000000006)"
385137,360050296002000,360050302002001,3,0,2,1,0,2,1,0,0,3,20170919,40.8622731,-73.8245204,"Bronx County, NY",40.854335600000006,-73.8463625,"Bronx County, NY","LINESTRING(-73.8245204 40.8622731, -73.8463625 40.854335600000006)"
5656261,360810711002000,360594098001012,1,0,1,0,1,0,0,0,0,1,20170919,40.68995379999999,-73.7135588,"Nassau County, NY",40.7212214,-73.8484441,"Queens County, NY","LINESTRING(-73.7135588 40.68995379999999, -73.8484441 40.7212214)"
